"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ARHYNCHOBDELLIDA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"HAPLOTAXIDA","0","0","0","0","0","0","0","0","0","0","0","1","0","2","3"
"MEGADRILACEAE","2","0","2","1","0","3","3","9","4","16","0","8","41","49","116"
"OPISTHOPORA","0","0","0","3","0","3","3","4","4","11","0","2","33","56","102"
"Total","2","0","2","4","0","6","6","13","8","27","0","12","74","107","222"
