"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"CHORDEUMATIDA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"POLYDESMIDA","1","0","1","1","0","2","2","0","2","4","0","0","0","0","5"
"POLYZONIIDA","0","0","0","1","0","1","1","2","1","4","0","0","0","0","4"
"SIPHONOPHORIDA","0","0","0","0","0","0","0","2","1","3","0","0","0","0","3"
"SPHAEROTHERIIDA","0","0","0","0","0","0","13","5","3","21","0","19","16","22","78"
"SPIROBOLIDA","2","0","2","2","0","4","16","16","3","35","0","23","11","5","76"
"SPIROSTREPTIDA","0","0","0","0","0","0","2","7","5","14","0","23","25","14","76"
"STEMMIULIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"Total","3","0","3","4","0","7","35","32","15","82","0","66","52","41","244"
