"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"AMPHIPODA","1","0","1","0","0","1","9","6","57","72","0","0","1","0","74"
"ANASPIDACEA","0","0","0","0","0","0","0","0","4","4","0","0","0","0","4"
"DECAPODA","6","0","6","18","1","25","121","145","228","494","0","71","1,201","1,128","2,900"
"EUPHASIACEA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ISOPODA","0","1","1","0","0","1","8","10","22","40","0","1","1","2","45"
"MICTACEA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"MYSIDA","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2"
"Total","7","1","8","18","1","27","141","161","311","613","0","72","1,204","1,130","3,027"
