"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"PETROMYZONTIFORMES","1","0","1","1","0","2","2","4","2","8","0","3","23","3","38"
"Total","1","0","1","1","0","2","2","4","2","8","0","3","23","3","38"
