"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"EUONYCHOPHORA","0","0","0","0","0","0","3","2","4","9","0","1","0","1","11"
"Total","0","0","0","0","0","0","3","2","4","9","0","1","0","1","11"
