"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"BATHYTEUTHIDA","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6"
"IDIOSEPIIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6"
"MYOPSIDA","0","0","0","0","0","0","0","0","0","0","0","0","12","36","48"
"OCTOPODA","0","0","0","0","0","0","1","2","2","5","0","1","139","126","271"
"OEGOPSIDA","0","0","0","0","0","0","0","0","0","0","0","0","126","104","230"
"SEPIIDA","0","0","0","0","0","0","0","0","0","0","0","1","33","92","126"
"SEPIOLIDA","0","0","0","0","0","0","0","0","0","0","0","0","12","50","62"
"SPIRULIDA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"Total","0","0","0","0","0","0","1","2","2","5","0","2","324","419","750"
