"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ANURA","31","2","33","141","1","175","553","928","613","2,094","0","351","2,919","1,029","6,426"
"CAUDATA","3","0","3","10","0","13","125","164","114","403","0","60","186","50","702"
"GYMNOPHIONA","0","0","0","0","0","0","3","11","4","18","0","3","69","98","188"
"Total","34","2","36","151","1","188","681","1,103","731","2,515","0","414","3,174","1,177","7,316"
