"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ACTINIARIA","0","0","0","1","0","1","1","1","1","3","0","0","2","6","11"
"ALCYONACEA","0","0","0","0","0","0","0","0","1","1","0","1","1","4","7"
"HELIOPORACEA","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"PENICILLARIA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"PENNATULACEA","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"SCLERACTINIA","0","0","0","1","0","1","6","24","199","229","0","174","290","144","837"
"ZOANTHINARIA","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8"
"Total","0","0","0","2","0","2","7","26","202","235","0","175","293","163","866"
